feature,importance
points,0.1772656684837864
wins,0.11479641078453665
overall_strength,0.09332099478454843
attack_strength,0.08938833671440412
defense_strength,0.08588570737794382
points_per_game,0.08162533290433312
win_rate,0.07227024385354074
goals_per_game,0.03531062795212679
goal_efficiency,0.034616339245066595
goals_against_per_game,0.0330199779737196
loss_rate,0.02932669249333197
consistency,0.02699043999682208
goals_for,0.02441449616386206
goal_difference,0.023760582668647497
goals_against,0.021050640784308967
losses,0.019192640849882793
games_played,0.01859253390575692
draw_rate,0.012707232207347903
draws,0.006465100856033717
